state_name,state_id,district_name,lg_dt_code,medium,micro,small,total
MAHARASHTRA,27,KOLHAPUR,480,390,216071,3935,220396
MAHARASHTRA,27,"MUMBAI ",482,3329,312546,18129,334004
MAHARASHTRA,27,"MUMBAI SUBURBAN",483,1791,398696,12314,412801
MAHARASHTRA,27,OSMANABAD,488,13,62506,420,62939
MAHARASHTRA,27,PUNE,490,1800,815768,17155,834723
MANIPUR,14,"IMPHAL WEST",256,25,25930,344,26299
MANIPUR,14,NONEY,714,0,344,2,346
MANIPUR,14,TAMENGLONG,258,2,889,7,898
MEGHALAYA,17,"EAST KHASI HILLS",274,29,10320,276,10625
MEGHALAYA,17,"EASTERN WEST KHASI HILLS",740,0,445,1,446
MEGHALAYA,17,"WEST GARO HILLS",278,6,5597,62,5665
MIZORAM,15,Khawzawl,728,0,429,2,431
MIZORAM,15,Saitual,727,0,664,0,664
NAGALAND,13,MON,247,0,2161,6,2167
NAGALAND,13,Niuland,764,0,493,0,493
NAGALAND,13,Shamator,765,0,459,0,459
ODISHA,21,BALANGIR,345,26,29821,420,30267
ODISHA,21,BALESHWAR,346,43,60568,796,61407
ODISHA,21,JAGATSINGHPUR,355,12,30809,348,31169
ODISHA,21,KORAPUT,363,10,23777,352,24139
ODISHA,21,NAYAGARH,367,7,22724,186,22917
ODISHA,21,NUAPADA,368,2,10674,110,10786
ODISHA,21,PURI,369,16,55367,394,55777
ODISHA,21,SAMBALPUR,371,38,25926,600,26564
PUNJAB,3,BATHINDA,28,63,56457,1179,57699
PUNJAB,3,FAZILKA,651,71,33249,495,33815
PUNJAB,3,FIROZEPUR,31,30,36196,398,36624
PUNJAB,3,HOSHIARPUR,33,23,53312,655,53990
RAJASTHAN,8,BANSWARA,88,11,28508,309,28828
RAJASTHAN,8,BHARATPUR,91,66,39626,733,40425
RAJASTHAN,8,BHILWARA,92,167,103676,1910,105753
RAJASTHAN,8,CHURU,96,24,59388,563,59975
RAJASTHAN,8,DAUSA,97,22,40918,442,41382
RAJASTHAN,8,GANGANAGAR,100,127,81059,1349,82535
RAJASTHAN,8,JAIPUR,102,1166,439474,11303,451943
RAJASTHAN,8,"Jaipur Gramin",783,2,18313,72,18387
RAJASTHAN,8,Kekri,781,0,1689,10,1699
RAJASTHAN,8,Phalodi,772,0,3445,23,3468
RAJASTHAN,8,Salumbar,777,0,1339,4,1343
RAJASTHAN,8,TONK,116,37,37793,565,38395
"TAMIL NADU",33,Chengalpattu,730,30,79587,625,80242
"TAMIL NADU",33,DINDIGUL,572,73,88224,1094,89391
"TAMIL NADU",33,KARUR,576,58,38256,800,39114
"TAMIL NADU",33,NAGAPATTINAM,579,6,29583,218,29807
"TAMIL NADU",33,THANJAVUR,586,45,86824,907,87776
"TAMIL NADU",33,THENI,588,48,51822,605,52475
"TAMIL NADU",33,THIRUVARUR,590,16,40860,295,41171
"TAMIL NADU",33,TIRUNELVELI,592,55,74134,988,75177
"TAMIL NADU",33,VELLORE,595,78,88419,1064,89561
"TAMIL NADU",33,VILLUPURAM,596,34,74641,784,75459
TELANGANA,36,ADILABAD,501,23,20606,251,20880
TELANGANA,36,Jagitial,681,4,25765,245,26014
TELANGANA,36,JANGOAN,689,3,13387,156,13546
TELANGANA,36,"JOGULAMBA GADWAL",695,4,11169,167,11340
TELANGANA,36,Narayanpet,721,2,7690,66,7758
TELANGANA,36,NIZAMABAD,516,47,52117,659,52823
TELANGANA,36,SIDDIPET,692,15,31640,446,32101
TELANGANA,36,WANAPARTHY,693,2,13344,146,13492
"UTTAR PRADESH",9,AGRA,118,278,127188,3030,130496
"UTTAR PRADESH",9,AMROHA,154,23,23859,379,24261
"UTTAR PRADESH",9,AYODHYA,140,24,37721,555,38300
"UTTAR PRADESH",9,CHITRAKOOT,136,13,10342,138,10493
