,pincode,RURAL,URBAN
279,575001.0,2,4
280,590014.0,1,1
281,585308.0,1,0
282,561013.0,1,0
283,562136.0,5,0
284,394221.0,1,0
285,586104.0,2,2
286,500059.0,1,0
287,581202.0,1,0
288,571426.0,2,4
289,561232.0,3,1
290,605001.0,1,0
291,566009.0,1,3
292,572101.0,9,8
293,571605.0,1,1
294,560012.0,5,78
295,560976.0,1,0
296,552132.0,2,0
297,572105.0,1,2
298,580091.0,1,0
299,562156.0,2,2
300,572218.0,1,4
301,571235.0,1,0
302,562116.0,2,2
303,561124.0,3,1
304,591224.0,2,0
305,570030.0,1,3
306,571606.0,1,1
307,571422.0,3,1
308,561206.0,12,2
309,560044.0,10,521
310,571120.0,3,3
311,500066.0,1,0
312,574110.0,1,0
313,561023.0,3,0
314,540014.0,1,0
315,530067.0,1,1
316,560199.0,1,1
317,561229.0,1,8
318,573001.0,1,0
319,450033.0,1,0
320,577227.0,1,0
321,591215.0,1,0
322,562199.0,1,1
323,576123.0,1,0
324,572121.0,2,5
325,662123.0,1,0
326,571214.0,1,0
327,562220.0,1,0
328,650097.0,1,0
329,585102.0,3,4
330,566083.0,1,2
331,570064.0,1,4
332,571201.0,2,0
333,591307.0,1,0
334,560862.0,2,1
335,530068.0,2,15
336,562007.0,2,0
337,516205.0,1,0
338,572143.0,1,0
339,651203.0,1,0
340,591214.0,1,0
341,580062.0,1,0
342,560836.0,2,1
343,586208.0,1,0
344,560104.0,6,532
345,563132.0,8,4
346,516203.0,1,0
347,577146.0,1,1
348,561236.0,1,0
349,501453.0,1,0
350,562178.0,1,0
351,560129.0,1,0
352,561503.0,5,0
353,571401.0,2,8
354,450032.0,1,0
355,572213.0,2,6
356,572126.0,7,3
357,577566.0,1,0
358,591241.0,2,1
359,583238.0,1,0
360,560949.0,1,1
361,572137.0,1,1
362,563123.0,6,5
363,563134.0,1,1
364,580058.0,1,3
365,560987.0,1,0
366,575020.0,2,2
367,591128.0,1,0
368,564211.0,1,0
369,577532.0,1,0
370,506313.0,1,0
371,585211.0,1,0
372,583101.0,2,7
373,560101.0,1,19
374,632519.0,1,0
375,586130.0,1,0
376,577005.0,1,2
377,562457.0,1,0
378,577002.0,2,0
379,560162.0,2,5
380,560149.0,1,5
381,671322.0,1,0
382,584122.0,1,0
383,585402.0,1,0
384,560122.0,2,1
385,571455.0,1,2
386,572168.0,3,1
387,586214.0,1,0
388,561230.0,7,4
389,540099.0,1,0
390,508114.0,1,0
391,401107.0,1,1
392,560867.0,2,1
393,569068.0,1,0
394,570100.0,2,3
395,571205.0,1,0
396,566106.0,2,0
397,577001.0,1,3
398,572127.0,2,2
399,560000.0,3,27
400,561123.0,1,0
401,563106.0,1,1
402,573201.0,5,14
403,561211.0,14,7
404,848213.0,1,0
405,400703.0,1,0
406,571415.0,2,0
407,638003.0,1,0
408,542123.0,1,0
409,562128.0,15,17
410,572110.0,3,0
411,562312.0,1,1
412,573162.0,1,0
413,560411.0,1,0
414,563146.0,3,3
415,591115.0,2,0
416,561200.0,3,1
417,562115.0,3,0
418,561025.0,1,0
419,571127.0,1,0
420,576211.0,1,0
421,572132.0,6,4
422,561212.0,6,3
423,571434.0,2,1
424,566005.0,1,3
425,500643.0,1,0
426,581320.0,2,1
427,570037.0,1,2
428,515671.0,1,0
429,591129.0,1,0
430,450034.0,1,0
431,570072.0,1,6
432,571445.0,2,0
433,570073.0,4,4
434,577558.0,1,1
435,522111.0,1,0
436,571122.0,1,1
437,572201.0,3,14
438,562145.0,1,1
439,571203.0,6,0
440,552114.0,1,1
441,577120.0,1,0
442,577557.0,2,0
443,562757.0,1,0
444,563124.0,4,3
445,562142.0,1,0
446,570077.0,1,0
447,583230.0,1,0
448,591305.0,1,0
449,572125.0,2,6
450,571429.0,2,5
451,562310.0,1,3
452,560964.0,3,3
453,400050.0,1,0
454,518301.0,1,0
455,552123.0,2,1
456,563115.0,1,1
457,562215.0,1,0
458,571416.0,1,2
459,584115.0,2,0
460,580105.0,1,0
461,625007.0,1,0
462,563126.0,3,2
463,828404.0,1,0
464,561305.0,1,0
465,582123.0,1,0
466,575023.0,1,0
467,563149.0,1,1
468,570020.0,1,1
469,460017.0,1,0
470,573128.0,1,0
471,571124.0,1,1
472,635107.0,2,1
473,586123.0,2,6
474,560132.0,1,0
475,561612.0,1,0
476,562144.0,7,0
477,532101.0,1,0
478,560937.0,1,0
479,570097.0,1,6
480,517501.0,1,1
481,562213.0,1,2
482,577213.0,1,2
483,561220.0,1,0
484,572114.0,3,0
485,561280.0,1,0
486,552110.0,3,0
487,570076.0,2,10
488,591302.0,2,0
489,561312.0,1,0
490,570007.0,2,3
491,563102.0,2,2
492,572149.0,2,0
493,560933.0,1,0
494,600067.0,1,0
495,570057.0,2,0
496,560848.0,1,0
497,632004.0,1,0
498,585103.0,2,2
499,560127.0,2,1
500,585319.0,1,0
501,583134.0,1,0
502,563120.0,2,2
503,583201.0,1,4
504,506652.0,1,0
505,571463.0,1,0
506,591231.0,1,0
507,577130.0,1,0
508,572224.0,1,2
509,450048.0,1,0
510,577538.0,2,0
511,562749.0,1,0
512,563162.0,1,1
513,564004.0,1,0
514,562031.0,1,0
515,560216.0,1,0
516,500072.0,1,2
517,571311.0,1,0
518,570043.0,1,2
519,586005.0,1,1
520,569120.0,1,0
521,580102.0,1,0
522,570018.0,1,8
523,500105.0,1,0
524,584129.0,1,0
525,560130.0,1,9
526,571433.0,1,3
527,562097.0,1,0
528,305901.0,1,0
529,460085.0,1,1
530,571236.0,3,1
531,563113.0,1,1
532,571101.0,1,3
533,568005.0,1,0
534,460100.0,1,0
535,560966.0,1,0
536,530058.0,1,0
537,571421.0,3,4
538,517591.0,1,0
539,566099.0,1,1
540,502110.0,1,1
541,517325.0,1,1
542,562168.0,1,0
543,335513.0,1,0
544,563127.0,1,0
545,562315.0,3,0
546,530083.0,1,0
547,577522.0,2,3
548,560121.0,1,2
549,540043.0,1,1
550,572112.0,1,1
551,571111.0,2,0
552,561263.0,1,1
553,573213.0,1,4
554,572120.0,2,6
555,591317.0,1,3
556,591108.0,1,2
557,560660.0,1,0
558,560932.0,1,3
559,560668.0,1,1
560,600088.0,1,0
561,570001.0,1,6
562,246546.0,1,0
563,561303.0,1,0
564,572117.0,2,2
565,566092.0,1,1
566,561215.0,1,0
567,577134.0,1,1
568,400078.0,1,1
569,562153.0,1,0
570,572124.0,1,1
571,577541.0,1,0
572,586129.0,1,0
573,517422.0,1,0
574,561235.0,4,0
