,pincode,RURAL,URBAN
1234,571475.0,0,1
1235,560900.0,0,1
1236,581301.0,0,1
1237,632602.0,0,2
1238,460045.0,0,1
1239,515871.0,0,1
1240,561056.0,0,1
1241,635653.0,0,1
1242,571123.0,0,2
1243,530073.0,0,1
1244,560206.0,0,1
1245,400067.0,0,1
1246,660094.0,0,1
1247,580002.0,0,1
1248,425127.0,0,1
1249,507001.0,0,1
1250,590038.0,0,1
1251,570084.0,0,2
1252,400088.0,0,1
1253,262803.0,0,1
1254,500040.0,0,2
1255,590097.0,0,1
1256,590060.0,0,1
1257,572133.0,0,2
1258,560501.0,0,1
1259,562187.0,0,1
1260,560981.0,0,1
1261,566039.0,0,1
1262,500043.0,0,1
1263,583130.0,0,1
1264,570086.0,0,1
1265,460098.0,0,1
1266,590032.0,0,1
1267,580040.0,0,1
1268,625006.0,0,1
1269,760108.0,0,1
1270,560835.0,0,1
1271,570039.0,0,1
1272,160066.0,0,1
1273,400237.0,0,1
1274,560839.0,0,1
1275,560948.0,0,1
1276,851129.0,0,1
1277,732138.0,0,1
1278,566016.0,0,1
1279,844776.0,0,1
1280,411041.0,0,1
1281,560658.0,0,1
1282,110034.0,0,1
1283,550075.0,0,1
1284,396230.0,0,1
1285,560858.0,0,1
1286,560997.0,0,1
1287,515211.0,0,1
1288,510032.0,0,1
1289,571342.0,0,1
1290,565010.0,0,1
1291,382443.0,0,1
1292,462120.0,0,1
1293,600369.0,0,1
1294,577518.0,0,1
1295,534111.0,0,1
1296,573123.0,0,1
1297,561149.0,0,1
1298,546072.0,0,1
1299,638001.0,0,1
1300,550068.0,0,2
1301,560991.0,0,1
1302,581211.0,0,2
1303,621108.0,0,1
1304,515271.0,0,1
1305,572175.0,0,1
1306,577006.0,0,1
1307,111111.0,0,1
1308,500114.0,0,1
1309,581401.0,0,1
1310,116616.0,0,1
1311,140603.0,0,1
1312,566090.0,0,1
1313,571807.0,0,1
1314,583137.0,0,1
1315,573164.0,0,1
1316,515110.0,0,2
1317,110092.0,0,1
1318,635113.0,0,1
1319,567800.0,0,1
1320,566001.0,0,1
1321,570102.0,0,1
1322,562300.0,0,1
1323,562002.0,0,2
1324,590046.0,0,1
1325,586009.0,0,1
1326,566064.0,0,3
1327,567078.0,0,1
1328,580024.0,0,1
1329,566684.0,0,1
1330,400610.0,0,1
1331,581148.0,0,1
1332,591124.0,0,1
1333,587112.0,0,1
1334,585415.0,0,1
1335,566216.0,0,1
1336,577524.0,0,1
1337,560155.0,0,1
1338,581355.0,0,1
1339,560133.0,0,1
1340,570094.0,0,3
1341,583219.0,0,1
1342,572119.0,0,1
1343,526160.0,0,1
1344,637100.0,0,1
1345,576217.0,0,1
1346,582102.0,0,1
1347,260068.0,0,1
1348,650035.0,0,1
1349,625532.0,0,1
1350,569032.0,0,1
1351,569958.0,0,1
1352,561216.0,0,1
1353,566076.0,0,1
1354,586212.0,0,1
1355,540040.0,0,1
1356,121001.0,0,1
1357,577222.0,0,2
1358,500070.0,0,2
1359,561057.0,0,1
1360,650008.0,0,2
1361,560954.0,0,1
1362,502300.0,0,1
1363,591125.0,0,1
1364,562143.0,0,1
1365,550043.0,0,1
1366,573121.0,0,2
1367,573225.0,0,2
1368,561125.0,0,2
1369,517424.0,0,1
1370,517001.0,0,1
1371,574231.0,0,1
1372,678014.0,0,1
1373,695010.0,0,1
1374,577523.0,0,1
1375,566002.0,0,2
1376,10.0,0,1
1377,411021.0,0,1
1378,564010.0,0,1
1379,506613.0,0,1
1380,380009.0,0,1
1381,635203.0,0,2
1382,573135.0,0,1
1383,562316.0,0,1
1384,781022.0,0,1
1385,800024.0,0,1
1386,566210.0,0,1
1387,360050.0,0,1
1388,583282.0,0,1
1389,572221.0,0,4
1390,576006.0,0,1
1391,620100.0,0,1
1392,450092.0,0,1
1393,574143.0,0,1
1394,500003.0,0,1
1395,563159.0,0,1
1396,518501.0,0,1
1397,566006.0,0,3
1398,583126.0,0,1
1399,577418.0,0,1
1400,380015.0,0,1
1401,396424.0,0,1
1402,460076.0,0,1
1403,742189.0,0,1
1404,571442.0,0,2
1405,580087.0,0,1
1406,500034.0,0,1
1407,512162.0,0,1
1408,331303.0,0,1
1409,583127.0,0,1
1410,600026.0,0,1
1411,395007.0,0,1
1412,577168.0,0,2
1413,506102.0,0,1
1414,550091.0,0,1
1415,660083.0,0,1
1416,520027.0,0,1
1417,577432.0,0,1
1418,569073.0,0,1
1419,550100.0,0,1
1420,571476.0,0,1
1421,607204.0,0,1
1422,670067.0,0,1
1423,580089.0,0,1
1424,581203.0,0,1
1425,110033.0,0,1
1426,540046.0,0,2
1427,526106.0,0,2
1428,560160.0,0,3
1429,560843.0,0,1
1430,590036.0,0,1
1431,566094.0,0,1
1432,500094.0,0,1
1433,562601.0,0,1
1434,569078.0,0,1
1435,560947.0,0,2
1436,568826.0,0,1
1437,650072.0,0,1
1438,636809.0,0,1
1439,560972.0,0,1
1440,575022.0,0,1
1441,585301.0,0,1
1442,759019.0,0,1
1443,577217.0,0,3
1444,550002.0,0,1
1445,650092.0,0,1
1446,403702.0,0,1
1447,571811.0,0,1
1448,530032.0,0,1
1449,758016.0,0,1
1450,581208.0,0,1
1451,450075.0,0,1
1452,620002.0,0,1
1453,571490.0,0,1
1454,572223.0,0,1
1455,560945.0,0,2
1456,571602.0,0,1
1457,570054.0,0,1
1458,550064.0,0,2
1459,691531.0,0,1
1460,568829.0,0,1
1461,575017.0,0,1
1462,566085.0,0,1
1463,678001.0,0,1
1464,307030.0,0,1
1465,637001.0,0,1
1466,568843.0,0,1
1467,411045.0,0,1
1468,576235.0,0,1
1469,570092.0,0,1
1470,600040.0,0,1
1471,460046.0,0,1
1472,341513.0,0,1
1473,562113.0,0,1
1474,503111.0,0,1
1475,577102.0,0,1
1476,636309.0,0,1
1477,563003.0,0,1
1478,281403.0,0,1
1479,600036.0,0,1
1480,590015.0,0,1
1481,600091.0,0,1
1482,575079.0,0,1
1483,560146.0,0,1
1484,583103.0,0,1
1485,515231.0,0,1
1486,506021.0,0,1
1487,569943.0,0,1
1488,574142.0,0,1
1489,577413.0,0,1
1490,581331.0,0,1
1491,562049.0,0,1
1492,574279.0,0,1
1493,580086.0,0,1
1494,571104.0,0,1
1495,569038.0,0,1
1496,565026.0,0,1
1497,600050.0,0,1
1498,605010.0,0,1
1499,680741.0,0,1
1500,641023.0,0,1
1501,401208.0,0,1
1502,636805.0,0,1
1503,660058.0,0,1
1504,573122.0,0,1
1505,560134.0,0,1
1506,600117.0,0,1
1507,516002.0,0,1
1508,573119.0,0,1
1509,851131.0,0,1
1510,526023.0,0,1
1511,570098.0,0,1
1512,660068.0,0,1
1513,586001.0,0,1
1514,562169.0,0,1
1515,635752.0,0,1
1516,652125.0,0,1
1517,526157.0,0,1
1518,560214.0,0,1
1519,518176.0,0,1
1520,550011.0,0,1
1521,500053.0,0,1
1522,506676.0,0,1
1523,585436.0,0,1
1524,577229.0,0,1
1525,567117.0,0,1
1526,567079.0,0,1
1527,650084.0,0,1
1528,575028.0,0,1
1529,160394.0,0,1
1530,569985.0,0,2
1531,580027.0,0,1
1532,560163.0,0,1
1533,585325.0,0,1
1534,450059.0,0,1
1535,561102.0,0,1
1536,570083.0,0,1
1537,343021.0,0,1
1538,403001.0,0,1
1539,833201.0,0,1
1540,576231.0,0,1
1541,753001.0,0,1
1542,571302.0,0,1
1543,656045.0,0,1
1544,560935.0,0,1
1545,580049.0,0,1
1546,583119.0,0,1
1547,360072.0,0,1
1548,586006.0,0,1
1549,460062.0,0,1
1550,561130.0,0,1
1551,201301.0,0,1
1552,586120.0,0,1
1553,562221.0,0,1
1554,660079.0,0,1
1555,606905.0,0,1
1556,590094.0,0,1
1557,572115.0,0,2
1558,550079.0,0,1
1559,586109.0,0,1
1560,571403.0,0,2
1561,500013.0,0,1
1562,580047.0,0,1
1563,577233.0,0,1
1564,581207.0,0,1
1565,565000.0,0,1
1566,571116.0,0,1
1567,571810.0,0,1
1568,577545.0,0,1
1569,570031.0,0,1
1570,572226.0,0,1
1571,711312.0,0,1
1572,569001.0,0,1
1573,574320.0,0,1
1574,343301.0,0,1
1575,566678.0,0,1
1576,500039.0,0,1
1577,867548.0,0,1
1578,563167.0,0,1
1579,580065.0,0,1
1580,582129.0,0,1
1581,596005.0,0,1
1582,562099.0,0,2
1583,563103.0,0,1
1584,571313.0,0,1
1585,562194.0,0,1
1586,590073.0,0,1
1587,572228.0,0,1
1588,560827.0,0,1
1589,587206.0,0,1
1590,560223.0,0,1
1591,560140.0,0,1
1592,636111.0,0,1
1593,576234.0,0,1
1594,768201.0,0,1
1595,580020.0,0,1
1596,600030.0,0,1
1597,110093.0,0,1
1598,422011.0,0,1
1599,670043.0,0,1
1600,600032.0,0,1
1601,306421.0,0,1
1602,577589.0,0,1
1603,500023.0,0,1
1604,560142.0,0,1
1605,575004.0,0,1
1606,562257.0,0,1
1607,560605.0,0,1
1608,635851.0,0,1
1609,556003.0,0,1
1610,576233.0,0,1
1611,574118.0,0,1
1612,734006.0,0,1
1613,502285.0,0,1
1614,600097.0,0,1
1615,587203.0,0,1
1616,581402.0,0,1
1617,503165.0,0,1
1618,260105.0,0,1
1619,660091.0,0,1
1620,632503.0,0,1
1621,632505.0,0,1
1622,682020.0,0,1
1623,501401.0,0,1
1624,575027.0,0,1
1625,586119.0,0,1
1626,400037.0,0,1
1627,360091.0,0,1
1628,580093.0,0,2
1629,602106.0,0,1
1630,580068.0,0,1
1631,678651.0,0,1
1632,760099.0,0,2
1633,571474.0,0,1
1634,583277.0,0,1
1635,762015.0,0,1
1636,606803.0,0,1
1637,571502.0,0,1
1638,343263.0,0,1
1639,560209.0,0,1
1640,576107.0,0,1
1641,587125.0,0,1
1642,400705.0,0,1
1643,590023.0,0,1
1644,571448.0,0,1
1645,230004.0,0,1
1646,506105.0,0,1
1647,580070.0,0,1
1648,587101.0,0,2
1649,574229.0,0,1
1650,530064.0,0,1
1651,560956.0,0,1
1652,600037.0,0,1
1653,683542.0,0,1
1654,342601.0,0,1
1655,121010.0,0,1
1656,382427.0,0,1
1657,591263.0,0,1
1658,500090.0,0,1
1659,566032.0,0,1
1660,571439.0,0,1
1661,580084.0,0,1
1662,532107.0,0,1
1663,260027.0,0,2
1664,590020.0,0,1
1665,600029.0,0,1
1666,650068.0,0,1
1667,562230.0,0,1
1668,260082.0,0,1
1669,576210.0,0,1
1670,526125.0,0,1
1671,560856.0,0,1
1672,582209.0,0,1
1673,583278.0,0,1
1674,564112.0,0,1
1675,564042.0,0,1
1676,312605.0,0,1
1677,125055.0,0,1
1678,413567.0,0,1
1679,192401.0,0,1
1680,562406.0,0,1
1681,570032.0,0,1
1682,563002.0,0,1
1683,517112.0,0,1
1684,585215.0,0,1
1685,560959.0,0,1
1686,573219.0,0,1
1687,460095.0,0,1
1688,561157.0,0,1
1689,500029.0,0,1
1690,605003.0,0,1
1691,573210.0,0,1
1692,566084.0,0,1
1693,635121.0,0,1
1694,650045.0,0,1
1695,590090.0,0,1
1696,660001.0,0,1
1697,580064.0,0,1
1698,560998.0,0,1
1699,560926.0,0,1
