,NIC5digitId,BENGALURU (URBAN),Activity
110,10619,598,Other grain milling and processing n.e.c.
111,10621,202,"Manufacture of starches from rice, potatoes, maize etc."
112,10622,8,Manufacture of sago and sago products
113,10623,14,"Manufacture of glucose, glucose syrup, maltose etc."
114,10624,6,Manufacture of gluten
115,10625,8,Manufacture of tapioca and tapioca substitutes prepared from starch
116,10626,25,Manufacture of corn oil
117,10629,46,Manufacture of other starch products n.e.c.
118,10711,578,Manufacture of bread
119,10712,2159,"Manufacture of biscuits, cakes, pastries, rusks etc."
120,10719,2060,Manufacture of other bakery products n.e.c.
121,10721,39,Manufacture or refining of sugar (sucrose) from sugercane
122,10722,23,Manufacture of 'gur' from sugarcane
123,10723,6,Manufacture of 'gur' from other than sugarcane
124,10724,10,Manufacture of khandsari' sugar from sugarcane
125,10725,6,Manufacture of khandsari' suger from other than sugarcane
126,10726,14,Manufacture of boora' and candy from sugarcane
127,10727,9,Manufacture of boora' and candy from other than sugarcane
128,10728,9,Manufacture of molasses
129,10729,99,"Manufacture of sugar from other sources (juice of palm, suger beet etc.)"
130,10731,53,Manufacture of cocoa products
131,10732,207,Manufacture of chocolate and chocolate confectionery
132,10733,98,Manufacture of sugar confectionery (except sweetmeats)
133,10734,165,Manufacture sweetmeats includind dairy based sweetmeats
134,10735,7,Manufacture of chewing gum
135,10736,168,"Preserving in sugar of fruit, nuts, fruit peels and other parts of plants"
136,10739,226,"Manufacture of other cocoa, chocolate, sugar confectionery products n.e.c."
137,10740,238,"Manufacture of macaroni, noodles, couscous and similar farinaceous products"
138,10750,2081,Manufacture of prepared meals and dishes
139,10791,460,Processing and blending of tea including manufacture of instant tea
140,10792,355,"Coffee curing, roasting, grinding blending etc. and manufacturing of coffee products"
141,10793,572,Processing of edible nuts
142,10794,326,Manufacture of malted foods including foods for infants and handicapped
143,10795,1706,Grinding and processing of spices
144,10796,1159,"Manufacture of papads, appalam and similar food products"
145,10797,573,"Manufacture of vitaminised high protein flour, frying of dal and other cereals"
146,10798,195,"Processing of salt into food-grade salt, e.g. iodized salt"
147,10799,3527,"Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar powder etc. (this excludes the activities covered under 10619)"
148,10801,75,Manufacture of cattle feed
149,10802,74,Manufacture of poultry feed
150,10803,209,"Manufacture of prepared feeds for pets, including dogs, cats, birds, fish etc."
151,10809,79,Manufacture of other animal feeds n.e.c.
152,11011,27,"Manufacture of distilled, potable, alcoholic beverages such as whisky, brandy, gin, ""mixed drinks"" etc."
153,11012,7,Manufacture of country liquor
154,11019,13,"Distilling, rectifying and blending of spirits"
155,11020,38,Manufacture of wines
156,11031,11,Manufacture of beer
157,11032,8,Manufacture of malt liquors other than beer
158,11033,14,Manufacture of malt
159,11039,7,Manufacture of malt liquors and malt n.e.c.
160,11041,90,Manufacture of aerated drinks
161,11042,52,Manufacture of synthetic flavoured concentrates and syrups
162,11043,937,Manufacture of mineral water
163,11044,89,Manufacture of ice
164,11045,442,Manufacture of soft drinks
165,11049,234,Manufacture of other non-alcoholic beverages n.e.c.
166,12001,4,Stemming and redrying of tobacco
167,12002,15,Manufacture of bidi
168,12003,16,"Manufacture of cigarettes, cigarette tobacco"
169,12004,2,Manufacture of cigars and cheroots
170,12005,10,Manufacture of snuff
171,12006,6,Manufacture of zarda
172,12007,0,Manufacture of catechu(katha) and chewing lime
173,12008,26,Manufacture of pan masala and related products.
174,12009,10,Manufacture of other tobacco products including chewing tobacco n.e.c
175,13111,224,Preparation and spinning of cotton fiber including blended* cotton
176,13112,61,Preparation and spinning of silk fiber including blended* silk
177,13113,6,"Preparation and spinning of wool, including other animal hair and blended* wool including other animal hair"
178,13114,27,Preparation and spinning of man-made fiber including blended* man-made fiber
179,13119,83,"Preparation and spinning of jute, mesta and other natural fibers including blended natural fibers n.e.c. *Blended yarn/fabrics means, yarn/fabrics containing more than 50% of one fiber."
180,13121,832,"Weaving, manufacture of cotton and cotton mixture fabrics."
181,13122,193,"Weaving, manufacture of silk and silk mixture fabrics."
182,13123,29,"Weaving, manufacture of wool and wool mixture fabrics."
183,13124,73,"Weaving, manufacturing of man-made fiber and man-made mixture fabrics."
184,13129,52,"Weaving of jute, mesta and other natural fibers including blended natural fibers n.e.c."
185,13131,1043,Finishing of cotton and blended cotton textiles.
186,13132,415,Finishing of silk and blended silk textiles.
187,13133,44,Finishing of wool and blended wool textiles.
188,13134,265,Finishing of man-made and blended man-made textiles.
189,13135,44,"Finishing of jute, mesta and other vegetable textiles fabrics"
190,13136,179,Activity related to screen printing
191,13139,1395,Other activities relating to finishing of textile n.e.c.
192,13911,148,Manufacture of knitted and crocheted cotton fabrics
193,13912,18,Manufacture of knitted and crocheted woolen fabrics
194,13913,34,Manufacture of knitted and crocheted synthetic fabrics
195,13919,35,Manufacture of other knitted and crocheted fabrics
196,13921,210,"Manufacture of curtains, bed covers and furnishings"
197,13922,101,Manufacture of crocheted made up textile goods except apparel
198,13923,74,Manufacture of mosquito nets
199,13924,186,"Manufacture of bedding, quilts pillows, sleeping bags etc."
200,13925,42,Manufacture of tarpaulin
201,13926,22,Manufacture of blankets
202,13929,372,"Manufacture of other made-up textile articles, except apparel n.e.c."
203,13931,39,Manufacture of carpets and other floor coverings made of cotton
204,13932,9,Manufacture of carpets and other floor coverings made of wool
205,13933,8,Manufacture of carpets and other floor coverings made of silk
