,NIC5digitId,BENGALURU (RURAL),Activity
153,11012,1,Manufacture of country liquor
154,11019,2,"Distilling, rectifying and blending of spirits"
155,11020,11,Manufacture of wines
156,11031,1,Manufacture of beer
157,11032,1,Manufacture of malt liquors other than beer
158,11033,2,Manufacture of malt
159,11039,1,Manufacture of malt liquors and malt n.e.c.
160,11041,15,Manufacture of aerated drinks
161,11042,8,Manufacture of synthetic flavoured concentrates and syrups
162,11043,197,Manufacture of mineral water
163,11044,10,Manufacture of ice
164,11045,72,Manufacture of soft drinks
165,11049,55,Manufacture of other non-alcoholic beverages n.e.c.
166,12001,0,Stemming and redrying of tobacco
167,12002,2,Manufacture of bidi
168,12003,2,"Manufacture of cigarettes, cigarette tobacco"
169,12004,0,Manufacture of cigars and cheroots
170,12005,2,Manufacture of snuff
171,12006,0,Manufacture of zarda
172,12007,0,Manufacture of catechu(katha) and chewing lime
173,12008,7,Manufacture of pan masala and related products.
174,12009,0,Manufacture of other tobacco products including chewing tobacco n.e.c
175,13111,47,Preparation and spinning of cotton fiber including blended* cotton
176,13112,15,Preparation and spinning of silk fiber including blended* silk
177,13113,0,"Preparation and spinning of wool, including other animal hair and blended* wool including other animal hair"
178,13114,9,Preparation and spinning of man-made fiber including blended* man-made fiber
179,13119,14,"Preparation and spinning of jute, mesta and other natural fibers including blended natural fibers n.e.c. *Blended yarn/fabrics means, yarn/fabrics containing more than 50% of one fiber."
180,13121,123,"Weaving, manufacture of cotton and cotton mixture fabrics."
181,13122,44,"Weaving, manufacture of silk and silk mixture fabrics."
182,13123,7,"Weaving, manufacture of wool and wool mixture fabrics."
183,13124,20,"Weaving, manufacturing of man-made fiber and man-made mixture fabrics."
184,13129,10,"Weaving of jute, mesta and other natural fibers including blended natural fibers n.e.c."
185,13131,214,Finishing of cotton and blended cotton textiles.
186,13132,81,Finishing of silk and blended silk textiles.
187,13133,10,Finishing of wool and blended wool textiles.
188,13134,51,Finishing of man-made and blended man-made textiles.
189,13135,8,"Finishing of jute, mesta and other vegetable textiles fabrics"
190,13136,36,Activity related to screen printing
191,13139,273,Other activities relating to finishing of textile n.e.c.
192,13911,31,Manufacture of knitted and crocheted cotton fabrics
193,13912,3,Manufacture of knitted and crocheted woolen fabrics
194,13913,8,Manufacture of knitted and crocheted synthetic fabrics
195,13919,8,Manufacture of other knitted and crocheted fabrics
196,13921,41,"Manufacture of curtains, bed covers and furnishings"
197,13922,16,Manufacture of crocheted made up textile goods except apparel
198,13923,15,Manufacture of mosquito nets
199,13924,31,"Manufacture of bedding, quilts pillows, sleeping bags etc."
200,13925,6,Manufacture of tarpaulin
201,13926,5,Manufacture of blankets
202,13929,71,"Manufacture of other made-up textile articles, except apparel n.e.c."
203,13931,9,Manufacture of carpets and other floor coverings made of cotton
204,13932,4,Manufacture of carpets and other floor coverings made of wool
205,13933,3,Manufacture of carpets and other floor coverings made of silk
206,13934,5,Manufacture of carpets made of synthetic materials
207,13935,10,"Manufacture of carpets, and other floor coverings made of jute, mesta and coir"
208,13939,3,Manufacture of other floor coverings n.e.c.
209,13941,9,"Manufacture of thread, including thread ball making"
