,NIC5digitId,RAMANAGARA,Activity
110,10619,43,Other grain milling and processing n.e.c.
111,10621,23,"Manufacture of starches from rice, potatoes, maize etc."
112,10622,1,Manufacture of sago and sago products
113,10623,1,"Manufacture of glucose, glucose syrup, maltose etc."
114,10624,1,Manufacture of gluten
115,10625,0,Manufacture of tapioca and tapioca substitutes prepared from starch
116,10626,1,Manufacture of corn oil
117,10629,2,Manufacture of other starch products n.e.c.
118,10711,34,Manufacture of bread
119,10712,110,"Manufacture of biscuits, cakes, pastries, rusks etc."
120,10719,80,Manufacture of other bakery products n.e.c.
121,10721,2,Manufacture or refining of sugar (sucrose) from sugercane
122,10722,2,Manufacture of 'gur' from sugarcane
123,10723,0,Manufacture of 'gur' from other than sugarcane
124,10724,0,Manufacture of khandsari' sugar from sugarcane
125,10725,1,Manufacture of khandsari' suger from other than sugarcane
126,10726,0,Manufacture of boora' and candy from sugarcane
127,10727,1,Manufacture of boora' and candy from other than sugarcane
128,10728,0,Manufacture of molasses
129,10729,11,"Manufacture of sugar from other sources (juice of palm, suger beet etc.)"
130,10731,3,Manufacture of cocoa products
131,10732,18,Manufacture of chocolate and chocolate confectionery
132,10733,2,Manufacture of sugar confectionery (except sweetmeats)
133,10734,10,Manufacture sweetmeats includind dairy based sweetmeats
134,10735,0,Manufacture of chewing gum
135,10736,7,"Preserving in sugar of fruit, nuts, fruit peels and other parts of plants"
136,10739,13,"Manufacture of other cocoa, chocolate, sugar confectionery products n.e.c."
137,10740,14,"Manufacture of macaroni, noodles, couscous and similar farinaceous products"
138,10750,139,Manufacture of prepared meals and dishes
139,10791,29,Processing and blending of tea including manufacture of instant tea
140,10792,26,"Coffee curing, roasting, grinding blending etc. and manufacturing of coffee products"
141,10793,37,Processing of edible nuts
142,10794,11,Manufacture of malted foods including foods for infants and handicapped
143,10795,106,Grinding and processing of spices
144,10796,68,"Manufacture of papads, appalam and similar food products"
145,10797,35,"Manufacture of vitaminised high protein flour, frying of dal and other cereals"
146,10798,12,"Processing of salt into food-grade salt, e.g. iodized salt"
147,10799,238,"Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar powder etc. (this excludes the activities covered under 10619)"
148,10801,6,Manufacture of cattle feed
149,10802,5,Manufacture of poultry feed
150,10803,18,"Manufacture of prepared feeds for pets, including dogs, cats, birds, fish etc."
151,10809,2,Manufacture of other animal feeds n.e.c.
152,11011,4,"Manufacture of distilled, potable, alcoholic beverages such as whisky, brandy, gin, ""mixed drinks"" etc."
153,11012,0,Manufacture of country liquor
154,11019,1,"Distilling, rectifying and blending of spirits"
155,11020,6,Manufacture of wines
156,11031,0,Manufacture of beer
157,11032,0,Manufacture of malt liquors other than beer
158,11033,0,Manufacture of malt
159,11039,0,Manufacture of malt liquors and malt n.e.c.
160,11041,9,Manufacture of aerated drinks
161,11042,2,Manufacture of synthetic flavoured concentrates and syrups
162,11043,83,Manufacture of mineral water
163,11044,2,Manufacture of ice
164,11045,23,Manufacture of soft drinks
165,11049,16,Manufacture of other non-alcoholic beverages n.e.c.
166,12001,0,Stemming and redrying of tobacco
167,12002,1,Manufacture of bidi
168,12003,0,"Manufacture of cigarettes, cigarette tobacco"
169,12004,0,Manufacture of cigars and cheroots
170,12005,0,Manufacture of snuff
171,12006,0,Manufacture of zarda
172,12007,0,Manufacture of catechu(katha) and chewing lime
173,12008,4,Manufacture of pan masala and related products.
174,12009,0,Manufacture of other tobacco products including chewing tobacco n.e.c
175,13111,20,Preparation and spinning of cotton fiber including blended* cotton
176,13112,8,Preparation and spinning of silk fiber including blended* silk
177,13113,0,"Preparation and spinning of wool, including other animal hair and blended* wool including other animal hair"
178,13114,5,Preparation and spinning of man-made fiber including blended* man-made fiber
